Name;Total;rel_foreign;rel_women
Elpersbüttel;848;0.036427732079905996;0.4859154929577465
Epenwöhrden;765;0.05613577023498695;0.49411764705882355
Gudendorf;423;0.09813084112149532;0.4965034965034965
Immenstedt;104;0.02830188679245283;0.5333333333333333
Krumstedt;498;0.024193548387096774;0.5070707070707071
Meldorf, Stadt;7182;0.06587743732590529;0.5221448467966574
Nindorf;1096;0.015525114155251141;0.502283105022831
Odderade;326;0.012307692307692308;0.5216049382716049
Offenbüttel;262;0.026615969581749048;0.5057034220532319
Osterrade;413;0.02912621359223301;0.4795180722891566
Sarzbüttel;709;0.015558698727015558;0.4893917963224894
Schafstedt;1286;0.03046875;0.5078125
Schrum;76;0.0;0.43661971830985913
Wennbüttel;98;0.02912621359223301;0.48484848484848486
Windbergen;772;0.014230271668822769;0.49163449163449163
Wolmersdorf;315;0.012578616352201259;0.5125786163522013
Nordermeldorf;587;0.06960950764006792;0.46440677966101696
Tensbüttel-Röst;650;0.02009273570324575;0.4984520123839009
Büsum;4914;0.0885766646304215;0.5415478615071283
Büsumer Deichhausen;347;0.06997084548104957;0.546242774566474
Friedrichsgabekoog;54;0.057692307692307696;0.4727272727272727
Hedwigenkoog;216;0.12385321100917432;0.45871559633027525
Hellschen-Heringsand-Unterschaar;163;0.07317073170731707;0.45454545454545453
Hillgroven;61;0.05263157894736842;0.4074074074074074
Norddeich;431;0.09216589861751152;0.49885057471264366
Oesterdeichstrich;315;0.23225806451612904;0.49038461538461536
Reinsbüttel;389;0.033419023136246784;0.49230769230769234
Schülp;371;0.06504065040650407;0.4877384196185286
Strübbel;89;0.10526315789473684;0.5625
Süderdeich;424;0.07816091954022988;0.5184331797235023
Warwerort;223;0.017699115044247787;0.4690265486725664
Wesselburen, Stadt;3346;0.21607890017931858;0.5209205020920502
Wesselburener Deichhausen;100;0.0;0.5405405405405406
Wesselburenerkoog;162;0.030303030303030304;0.4550898203592814
Westerdeichstrich;798;0.07528230865746549;0.5006273525721455
Oesterwurth;242;0.04564315352697095;0.4625
Geesthacht, Stadt;32340;0.15960176854342517;0.5121807951524145
Lauenburg/ Elbe, Stadt;11392;0.14374725756910925;0.5051790730337079
Mölln, Stadt;19391;0.09483292079207921;0.5229253700551859
Ratzeburg, Stadt;14873;0.0808175889195186;0.5245747327371747
Schwarzenbek, Stadt;16884;0.13896619101190125;0.50734249171009
Wentorf bei Hamburg;13515;0.07446021887015676;0.529642223536369
